[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.462119

Silhouette trung bình theo từng cluster:
- Cluster 0: silhouette_mean=0.679274, so_diem=72
- Cluster 1: silhouette_mean=0.925749, so_diem=44
- Cluster 2: silhouette_mean=0.829131, so_diem=479
- Cluster 3: silhouette_mean=0.381055, so_diem=200
- Cluster 4: silhouette_mean=0.890525, so_diem=42
- Cluster 5: silhouette_mean=0.532309, so_diem=335
- Cluster 6: silhouette_mean=0.495068, so_diem=1234
- Cluster 7: silhouette_mean=0.645923, so_diem=175
- Cluster 8: silhouette_mean=0.623057, so_diem=191
- Cluster 9: silhouette_mean=0.331800, so_diem=128
- Cluster 10: silhouette_mean=0.389682, so_diem=292
- Cluster 11: silhouette_mean=0.559486, so_diem=150
- Cluster 12: silhouette_mean=0.409761, so_diem=526
- Cluster 13: silhouette_mean=0.547952, so_diem=169
- Cluster 14: silhouette_mean=0.669313, so_diem=470
- Cluster 15: silhouette_mean=0.353112, so_diem=188
- Cluster 16: silhouette_mean=0.437535, so_diem=120
- Cluster 17: silhouette_mean=0.345921, so_diem=522
- Cluster 18: silhouette_mean=0.439861, so_diem=774
- Cluster 19: silhouette_mean=0.301585, so_diem=375
- Cluster 20: silhouette_mean=0.519929, so_diem=317
- Cluster 21: silhouette_mean=0.361811, so_diem=279
- Cluster 22: silhouette_mean=0.394642, so_diem=437
- Cluster 23: silhouette_mean=0.313545, so_diem=527
- Cluster 24: silhouette_mean=0.326783, so_diem=576
- Cluster 25: silhouette_mean=0.301451, so_diem=201
- Cluster 26: silhouette_mean=0.354043, so_diem=194
- Cluster 27: silhouette_mean=0.770323, so_diem=154
- Cluster 28: silhouette_mean=0.364991, so_diem=348
- Cluster 29: silhouette_mean=0.420190, so_diem=287
- Cluster 30: silhouette_mean=0.331261, so_diem=334
- Cluster 31: silhouette_mean=0.398917, so_diem=397
- Cluster 32: silhouette_mean=0.360960, so_diem=715
- Cluster 33: silhouette_mean=0.354054, so_diem=385
- Cluster 34: silhouette_mean=0.399827, so_diem=330
- Cluster 35: silhouette_mean=0.466898, so_diem=290
- Cluster 36: silhouette_mean=0.373651, so_diem=393
- Cluster 37: silhouette_mean=0.308870, so_diem=512
- Cluster 38: silhouette_mean=0.299141, so_diem=482
- Cluster 39: silhouette_mean=0.402389, so_diem=838
- Cluster 40: silhouette_mean=0.941546, so_diem=103
- Cluster 41: silhouette_mean=0.355006, so_diem=605
- Cluster 42: silhouette_mean=0.388812, so_diem=386
- Cluster 43: silhouette_mean=0.353370, so_diem=573
- Cluster 44: silhouette_mean=0.424022, so_diem=628
- Cluster 45: silhouette_mean=0.343996, so_diem=707
- Cluster 46: silhouette_mean=0.930840, so_diem=182
- Cluster 47: silhouette_mean=0.355689, so_diem=390
- Cluster 48: silhouette_mean=0.370597, so_diem=333
- Cluster 49: silhouette_mean=0.393475, so_diem=454
- Cluster 50: silhouette_mean=0.358335, so_diem=665
- Cluster 51: silhouette_mean=0.345944, so_diem=624
- Cluster 52: silhouette_mean=0.295966, so_diem=561
- Cluster 53: silhouette_mean=0.371201, so_diem=532
- Cluster 54: silhouette_mean=0.519168, so_diem=448
- Cluster 55: silhouette_mean=0.647754, so_diem=156
- Cluster 56: silhouette_mean=0.423662, so_diem=619
- Cluster 57: silhouette_mean=0.978010, so_diem=90
- Cluster 58: silhouette_mean=0.250842, so_diem=297
- Cluster 59: silhouette_mean=0.555839, so_diem=532
- Cluster 60: silhouette_mean=0.397310, so_diem=785
- Cluster 61: silhouette_mean=0.401465, so_diem=471
- Cluster 62: silhouette_mean=0.688734, so_diem=1370
- Cluster 63: silhouette_mean=0.677271, so_diem=1057
- Cluster 64: silhouette_mean=0.886538, so_diem=129
- Cluster 65: silhouette_mean=0.848325, so_diem=445
- Cluster 66: silhouette_mean=0.952222, so_diem=54
- Cluster 67: silhouette_mean=0.765774, so_diem=1034
- Cluster 68: silhouette_mean=0.848422, so_diem=1411
- Cluster 69: silhouette_mean=0.404135, so_diem=224
- Cluster 70: silhouette_mean=0.396119, so_diem=235
- Cluster 71: silhouette_mean=0.354107, so_diem=301
- Cluster 72: silhouette_mean=0.494761, so_diem=173
- Cluster 73: silhouette_mean=0.367449, so_diem=319
- Cluster 74: silhouette_mean=0.337593, so_diem=430
- Cluster 75: silhouette_mean=0.409087, so_diem=728
- Cluster 76: silhouette_mean=0.325522, so_diem=369
- Cluster 77: silhouette_mean=0.369213, so_diem=268
- Cluster 78: silhouette_mean=0.334567, so_diem=161
- Cluster 79: silhouette_mean=0.398807, so_diem=281
- Cluster 80: silhouette_mean=0.427963, so_diem=242
- Cluster 81: silhouette_mean=0.393974, so_diem=413
- Cluster 82: silhouette_mean=0.410478, so_diem=351
- Cluster 83: silhouette_mean=0.390570, so_diem=173
- Cluster 84: silhouette_mean=0.375344, so_diem=244
