[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.562585

Silhouette trung bình theo từng cluster:
- Cluster 0: silhouette_mean=0.550216, so_diem=7
- Cluster 1: silhouette_mean=0.623448, so_diem=14
- Cluster 2: silhouette_mean=0.761876, so_diem=5
- Cluster 3: silhouette_mean=0.613858, so_diem=6
- Cluster 4: silhouette_mean=0.561439, so_diem=5
- Cluster 5: silhouette_mean=0.627656, so_diem=11
- Cluster 6: silhouette_mean=0.404920, so_diem=17
- Cluster 7: silhouette_mean=0.736096, so_diem=19
- Cluster 8: silhouette_mean=0.596369, so_diem=10
- Cluster 9: silhouette_mean=0.482443, so_diem=21
- Cluster 10: silhouette_mean=0.446372, so_diem=39
- Cluster 11: silhouette_mean=0.350528, so_diem=15
- Cluster 12: silhouette_mean=0.505744, so_diem=13
- Cluster 13: silhouette_mean=0.739783, so_diem=60
- Cluster 14: silhouette_mean=0.600175, so_diem=11
- Cluster 15: silhouette_mean=0.707450, so_diem=51
- Cluster 16: silhouette_mean=0.516813, so_diem=11
- Cluster 17: silhouette_mean=0.640726, so_diem=20
- Cluster 18: silhouette_mean=0.083695, so_diem=10
- Cluster 19: silhouette_mean=0.770207, so_diem=6
- Cluster 20: silhouette_mean=0.077402, so_diem=8
- Cluster 21: silhouette_mean=0.380684, so_diem=5
- Cluster 22: silhouette_mean=0.547439, so_diem=18
- Cluster 23: silhouette_mean=0.570631, so_diem=17
- Cluster 24: silhouette_mean=0.593196, so_diem=14
- Cluster 25: silhouette_mean=0.859847, so_diem=3
- Cluster 26: silhouette_mean=0.497918, so_diem=17
- Cluster 27: silhouette_mean=0.527490, so_diem=12
- Cluster 28: silhouette_mean=0.547360, so_diem=15
- Cluster 29: silhouette_mean=0.486655, so_diem=18
- Cluster 30: silhouette_mean=0.328855, so_diem=5
- Cluster 31: silhouette_mean=0.570556, so_diem=3
- Cluster 32: silhouette_mean=0.719157, so_diem=2
- Cluster 33: silhouette_mean=0.398708, so_diem=14
- Cluster 34: silhouette_mean=0.506703, so_diem=15
- Cluster 35: silhouette_mean=0.642615, so_diem=30
- Cluster 36: silhouette_mean=0.387237, so_diem=5
- Cluster 37: silhouette_mean=0.669453, so_diem=15
- Cluster 38: silhouette_mean=0.656860, so_diem=8
- Cluster 39: silhouette_mean=0.603557, so_diem=22
- Cluster 40: silhouette_mean=0.429266, so_diem=10
- Cluster 41: silhouette_mean=0.646568, so_diem=16
- Cluster 42: silhouette_mean=0.457345, so_diem=18
- Cluster 43: silhouette_mean=0.678346, so_diem=23
- Cluster 44: silhouette_mean=0.612855, so_diem=51
- Cluster 45: silhouette_mean=0.790212, so_diem=21
- Cluster 46: silhouette_mean=0.478106, so_diem=8
- Cluster 47: silhouette_mean=0.647680, so_diem=8
- Cluster 48: silhouette_mean=0.722268, so_diem=4
- Cluster 49: silhouette_mean=0.349218, so_diem=6
- Cluster 50: silhouette_mean=0.862296, so_diem=4
- Cluster 51: silhouette_mean=0.183239, so_diem=23
- Cluster 52: silhouette_mean=0.346394, so_diem=9
- Cluster 53: silhouette_mean=0.626827, so_diem=15
- Cluster 54: silhouette_mean=0.492013, so_diem=10
- Cluster 55: silhouette_mean=0.584402, so_diem=7
- Cluster 56: silhouette_mean=0.328783, so_diem=19
- Cluster 57: silhouette_mean=0.645319, so_diem=24
- Cluster 58: silhouette_mean=0.749812, so_diem=6
- Cluster 59: silhouette_mean=0.628015, so_diem=4
- Cluster 60: silhouette_mean=0.672992, so_diem=7
- Cluster 61: silhouette_mean=0.578444, so_diem=10
- Cluster 62: silhouette_mean=0.631294, so_diem=11
- Cluster 63: silhouette_mean=0.377015, so_diem=18
- Cluster 64: silhouette_mean=0.538745, so_diem=15
- Cluster 65: silhouette_mean=0.459657, so_diem=7
- Cluster 66: silhouette_mean=0.397190, so_diem=10
- Cluster 67: silhouette_mean=0.609778, so_diem=9
- Cluster 68: silhouette_mean=0.490457, so_diem=9
- Cluster 69: silhouette_mean=0.553189, so_diem=4
- Cluster 70: silhouette_mean=0.548924, so_diem=3
- Cluster 71: silhouette_mean=0.000000, so_diem=1
- Cluster 72: silhouette_mean=0.209535, so_diem=7
- Cluster 73: silhouette_mean=0.858869, so_diem=12
- Cluster 74: silhouette_mean=0.622174, so_diem=17
- Cluster 75: silhouette_mean=0.396417, so_diem=24
- Cluster 76: silhouette_mean=0.565038, so_diem=16
- Cluster 77: silhouette_mean=0.636681, so_diem=18
- Cluster 78: silhouette_mean=0.511438, so_diem=8
- Cluster 79: silhouette_mean=0.566264, so_diem=2
- Cluster 80: silhouette_mean=0.005538, so_diem=2
