===== HCA-BGP STEP 1 =====
Số điểm: 20 | K mong muốn: 3
|Umin| (theo bài gốc) = 0.667
  M=   3  	 Mdg=2.000
  M=   6  	 Mdg=1.000
  M=   9  	 Mdg=1.000
  M=  12  	 Mdg=1.000
  M=  15  	 Mdg=1.000
  M=  18  	 Mdg=1.000
  M=  21  	 Mdg=1.000
  M=  24  	 Mdg=1.000
  M=  27  	 Mdg=1.000
  M=  30  	 Mdg=1.000
  M=  33  	 Mdg=1.000
  M=  36  	 Mdg=1.000
  M=  39  	 Mdg=1.000
  M=  42  	 Mdg=1.000
  M=  45  	 Mdg=1.000
  M=  48  	 Mdg=1.000
  M=  51  	 Mdg=1.000
  M=  54  	 Mdg=1.000
  M=  57  	 Mdg=1.000
  M=  60  	 Mdg=1.000
  M=  63  	 Mdg=1.000
  M=  66  	 Mdg=1.000
  M=  69  	 Mdg=1.000
  M=  72  	 Mdg=1.000
  M=  75  	 Mdg=1.000
  M=  78  	 Mdg=1.000
  M=  81  	 Mdg=1.000
  M=  84  	 Mdg=1.000
  M=  87  	 Mdg=1.000
  M=  90  	 Mdg=1.000
  M=  93  	 Mdg=1.000
  M=  96  	 Mdg=1.000
  M=  99  	 Mdg=1.000
  M= 102  	 Mdg=1.000
  M= 105  	 Mdg=1.000
  M= 108  	 Mdg=1.000
  M= 111  	 Mdg=1.000
  M= 114  	 Mdg=1.000
  M= 117  	 Mdg=1.000
  M= 120  	 Mdg=1.000
  M= 123  	 Mdg=1.000
  M= 126  	 Mdg=1.000
  M= 129  	 Mdg=1.000
  M= 132  	 Mdg=1.000
  M= 135  	 Mdg=1.000
  M= 138  	 Mdg=1.000
  M= 141  	 Mdg=1.000
  M= 144  	 Mdg=1.000
  M= 147  	 Mdg=1.000
  M= 150  	 Mdg=1.000
  M= 153  	 Mdg=1.000
  M= 156  	 Mdg=1.000
  M= 159  	 Mdg=1.000
  M= 162  	 Mdg=1.000
  M= 165  	 Mdg=1.000
  M= 168  	 Mdg=1.000
  M= 171  	 Mdg=1.000
  M= 174  	 Mdg=1.000
  M= 177  	 Mdg=1.000
  M= 180  	 Mdg=1.000
  M= 183  	 Mdg=1.000
  M= 186  	 Mdg=1.000
  M= 189  	 Mdg=1.000
  M= 192  	 Mdg=1.000
  M= 195  	 Mdg=1.000
  M= 198  	 Mdg=1.000
  M= 201  	 Mdg=1.000
  M= 204  	 Mdg=1.000
  M= 207  	 Mdg=1.000
  M= 210  	 Mdg=1.000
  M= 213  	 Mdg=1.000
  M= 216  	 Mdg=1.000
  M= 219  	 Mdg=1.000
  M= 222  	 Mdg=1.000
  M= 225  	 Mdg=1.000
  M= 228  	 Mdg=1.000
  M= 231  	 Mdg=1.000
  M= 234  	 Mdg=1.000
  M= 237  	 Mdg=1.000
  M= 240  	 Mdg=1.000
  M= 243  	 Mdg=1.000
  M= 246  	 Mdg=1.000
  M= 249  	 Mdg=1.000
  M= 252  	 Mdg=1.000
  M= 255  	 Mdg=1.000
  M= 258  	 Mdg=1.000
  M= 261  	 Mdg=1.000
  M= 264  	 Mdg=1.000
  M= 267  	 Mdg=1.000
  M= 270  	 Mdg=1.000
  M= 273  	 Mdg=1.000
  M= 276  	 Mdg=1.000
  M= 279  	 Mdg=1.000
