[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.428049

Silhouette trung bình theo từng cluster:
- Cluster 0: silhouette_mean=0.472734, so_diem=6
- Cluster 1: silhouette_mean=0.344766, so_diem=6
- Cluster 2: silhouette_mean=0.368241, so_diem=12
- Cluster 3: silhouette_mean=0.317116, so_diem=13
- Cluster 4: silhouette_mean=0.408424, so_diem=22
- Cluster 5: silhouette_mean=0.260630, so_diem=6
- Cluster 6: silhouette_mean=0.395145, so_diem=9
- Cluster 7: silhouette_mean=0.379147, so_diem=9
- Cluster 8: silhouette_mean=0.180855, so_diem=4
- Cluster 9: silhouette_mean=0.267002, so_diem=5
- Cluster 10: silhouette_mean=0.320923, so_diem=6
- Cluster 11: silhouette_mean=0.338001, so_diem=16
- Cluster 12: silhouette_mean=0.407146, so_diem=5
- Cluster 13: silhouette_mean=0.090869, so_diem=5
- Cluster 14: silhouette_mean=0.441554, so_diem=4
- Cluster 15: silhouette_mean=0.241799, so_diem=8
- Cluster 16: silhouette_mean=0.251817, so_diem=4
- Cluster 17: silhouette_mean=0.305253, so_diem=5
- Cluster 18: silhouette_mean=0.134234, so_diem=6
- Cluster 19: silhouette_mean=0.340490, so_diem=8
- Cluster 20: silhouette_mean=0.178133, so_diem=6
- Cluster 21: silhouette_mean=0.324070, so_diem=17
- Cluster 22: silhouette_mean=0.248880, so_diem=9
- Cluster 23: silhouette_mean=0.318686, so_diem=15
- Cluster 24: silhouette_mean=0.199450, so_diem=10
- Cluster 25: silhouette_mean=0.331565, so_diem=22
- Cluster 26: silhouette_mean=0.519696, so_diem=10
- Cluster 27: silhouette_mean=0.341192, so_diem=10
- Cluster 28: silhouette_mean=0.467707, so_diem=16
- Cluster 29: silhouette_mean=0.325654, so_diem=10
- Cluster 30: silhouette_mean=0.336852, so_diem=6
- Cluster 31: silhouette_mean=0.538249, so_diem=4
- Cluster 32: silhouette_mean=0.327640, so_diem=7
- Cluster 33: silhouette_mean=0.336095, so_diem=9
- Cluster 34: silhouette_mean=0.255553, so_diem=5
- Cluster 35: silhouette_mean=0.270936, so_diem=4
- Cluster 36: silhouette_mean=0.204368, so_diem=5
- Cluster 37: silhouette_mean=0.299813, so_diem=9
- Cluster 38: silhouette_mean=0.395195, so_diem=7
- Cluster 39: silhouette_mean=0.195896, so_diem=5
- Cluster 40: silhouette_mean=0.126014, so_diem=6
- Cluster 41: silhouette_mean=0.333667, so_diem=5
- Cluster 42: silhouette_mean=0.350966, so_diem=14
- Cluster 43: silhouette_mean=0.280111, so_diem=15
- Cluster 44: silhouette_mean=0.440892, so_diem=29
- Cluster 45: silhouette_mean=0.288954, so_diem=10
- Cluster 46: silhouette_mean=0.103958, so_diem=9
- Cluster 47: silhouette_mean=0.485674, so_diem=10
- Cluster 48: silhouette_mean=0.352406, so_diem=13
- Cluster 49: silhouette_mean=0.221757, so_diem=25
- Cluster 50: silhouette_mean=0.344094, so_diem=15
- Cluster 51: silhouette_mean=0.384896, so_diem=27
- Cluster 52: silhouette_mean=0.297677, so_diem=33
- Cluster 53: silhouette_mean=0.268311, so_diem=29
- Cluster 54: silhouette_mean=0.273841, so_diem=19
- Cluster 55: silhouette_mean=0.400211, so_diem=92
- Cluster 56: silhouette_mean=0.376678, so_diem=12
